NOME,ANO,FASE,IAA,IAN,IDA,IDADE,IEG,INDE,INGRESSANTE,IPP,IPS,IPV
ALUNO-1038,2021,4.0,8.3,10.0,6.5,13.0,6.1,6.619,1.0,8.0,0.0,7.3
ALUNO-1038,2022,5.0,9.16668,10.0,5.777777777777779,13.0,7.44750816993464,7.532558522875818,0.0,6.458333333333334,7.5,7.875
ALUNO-1039,2020,,,,,,,,1.0,,,
ALUNO-1039,2021,,,,,13.0,,,0.0,,,
ALUNO-1039,2022,0.0,9.50002,5.0,7.0,13.0,9.074074074074074,7.625232814814815,1.0,5.9375,7.5,8.08333
ALUNO-104,2020,,,,,,,,1.0,,,
ALUNO-104,2021,0.0,9.0,10.0,6.4,13.0,10.0,8.01,1.0,7.2,7.5,6.8
ALUNO-104,2022,0.0,10.00002,10.0,7.25,13.0,9.392712550607287,8.357710510121457,0.0,5.625,7.5,8.58333
ALUNO-1040,2020,,,,,,,,1.0,,,
ALUNO-1040,2021,,,,,13.0,,,0.0,,,
ALUNO-1040,2022,3.0,9.58335,5.0,6.166666666666667,13.0,8.422314578005116,7.267797248934356,1.0,7.5,7.5,6.95833
ALUNO-1041,2020,3.0,8.75001,10.0,8.666666666666666,12.0,5.4,7.793543333333334,1.0,7.96875,7.5,7.79167
ALUNO-1041,2021,,,,,13.0,,,0.0,,,
ALUNO-1041,2022,,,,,14.0,,,0.0,,,
ALUNO-1042,2020,,,,,,,,1.0,,,
ALUNO-1042,2021,,,,,13.0,,,0.0,,,
ALUNO-1042,2022,3.0,9.58335,5.0,5.166666666666667,13.0,8.5,6.891666833333334,1.0,7.5,7.5,5.9999925
ALUNO-1043,2020,,,,,,,,1.0,,,
ALUNO-1043,2021,0.0,9.5,10.0,6.8,13.0,10.0,8.367,1.0,7.5,7.5,7.8
ALUNO-1043,2022,,,,,13.0,,,0.0,,,
ALUNO-1044,2020,,,,,,,,1.0,,,
ALUNO-1044,2021,0.0,9.0,10.0,5.5,13.0,10.0,8.25,1.0,7.5,7.5,8.8
ALUNO-1044,2022,0.0,8.000020000000001,5.0,7.316666666666666,13.0,8.447971781305114,7.282095689594356,0.0,5.625,7.5,7.58333
ALUNO-1045,2020,,,,,,,,1.0,,,
ALUNO-1045,2021,,,,,13.0,,,0.0,,,
ALUNO-1045,2022,2.0,9.50002,10.0,7.416666666666666,13.0,9.365079365079364,7.902183873015874,1.0,4.791666666666667,7.5,6.833329999999999
ALUNO-1046,2020,3.0,7.5,5.0,7.666666666666667,14.0,9.3,7.993334666666667,1.0,8.333333333333334,7.5,8.83334
ALUNO-1046,2021,,,,,15.0,,,0.0,,,
ALUNO-1046,2022,,,,,16.0,,,0.0,,,
ALUNO-1047,2020,4.0,7.5,10.0,0.0,13.0,2.1,4.833887333333333,1.0,7.916666666666668,7.5,5.611103333333333
ALUNO-1047,2021,,,,,14.0,,,0.0,,,
ALUNO-1047,2022,,,,,15.0,,,0.0,,,
ALUNO-1048,2020,,,,,,,,1.0,,,
ALUNO-1048,2021,,,,,13.0,,,0.0,,,
ALUNO-1048,2022,1.0,8.000020000000001,10.0,4.75,13.0,9.72222222222222,7.038889111111112,1.0,4.166666666666666,7.5,5.88888
ALUNO-1049,2020,,,,,,,,1.0,,,
ALUNO-1049,2021,1.0,7.9,5.0,6.0,13.0,8.8,7.457,1.0,8.5,7.5,8.1
ALUNO-1049,2022,1.0,8.500020000000001,5.0,6.25,13.0,8.88447971781305,7.107453276895944,0.0,6.25,7.5,6.777776666666665
ALUNO-105,2020,3.0,9.16668,10.0,8.0,13.0,9.6,8.516877,0.0,7.96875,7.5,7.66667
ALUNO-105,2021,4.0,10.0,10.0,2.8,14.0,1.1,4.956,0.0,6.7,7.5,3.7
ALUNO-105,2022,,,,,15.0,,,0.0,,,
ALUNO-1050,2020,,,,,,,,1.0,,,
ALUNO-1050,2021,0.0,10.0,10.0,6.9,13.0,10.0,8.788,1.0,7.5,7.5,9.5
ALUNO-1050,2022,0.0,10.00002,5.0,8.25,13.0,8.865955739020755,7.785693147804151,0.0,5.625,7.5,7.75
ALUNO-1051,2020,3.0,9.16668,10.0,3.6666666666666665,12.0,2.8,6.254445333333334,1.0,7.5,7.5,7.72222
ALUNO-1051,2021,3.0,0.0,10.0,1.3,13.0,1.7,3.599,0.0,6.9,7.5,2.9
ALUNO-1051,2022,3.0,8.75001,5.0,5.833333333333333,14.0,7.1875,6.762500166666667,0.0,8.125,5.625,7.0416625
ALUNO-1052,2020,,,,,,,,1.0,,,
ALUNO-1052,2021,,,,,13.0,,,0.0,,,
ALUNO-1052,2022,2.0,9.50002,10.0,8.416666666666666,13.0,7.955148299975887,8.11186499332851,1.0,6.666666666666666,6.875,7.666666666666667
ALUNO-1053,2020,,,,,,,,1.0,,,
ALUNO-1053,2021,,,,,13.0,,,0.0,,,
ALUNO-1053,2022,5.0,8.75001,5.0,9.25,13.0,9.415584415584416,7.891450716450215,1.0,5.833333333333334,7.5,7.2499975
ALUNO-1054,2020,,,,,,,,1.0,,,
ALUNO-1054,2021,,,,,13.0,,,0.0,,,
ALUNO-1054,2022,1.0,9.000020000000001,10.0,6.5,13.0,9.333333333333332,7.776390666666667,1.0,6.041666666666667,7.5,6.777776666666666
ALUNO-1055,2020,,,,,,,,1.0,,,
ALUNO-1055,2021,3.0,7.5,10.0,4.7,13.0,4.7,6.421,1.0,7.7,5.0,7.6
ALUNO-1055,2022,4.0,6.66666,10.0,6.277777777777778,13.0,8.603896103896105,7.456542276334777,0.0,7.34375,5.625,7.5833325
ALUNO-1056,2020,3.0,7.5,2.5,2.6666666666666665,16.0,3.7,4.336873833333334,1.0,6.09375,4.375,5.0833275
ALUNO-1056,2021,,,,,17.0,,,0.0,,,
ALUNO-1056,2022,,,,,18.0,,,0.0,,,
ALUNO-1057,2020,,,,,,,,1.0,,,
ALUNO-1057,2021,3.0,8.3,10.0,5.8,13.0,5.6,7.494,1.0,8.3,7.5,9.0
ALUNO-1057,2022,3.0,8.33334,5.0,5.166666666666667,13.0,6.845108695652174,6.427354572463768,0.0,7.5,7.5,5.9583275
ALUNO-1058,2020,,,,,,,,1.0,,,
ALUNO-1058,2021,,,,,13.0,,,0.0,,,
ALUNO-1058,2022,2.0,8.000020000000001,10.0,7.25,13.0,8.69949494949495,7.763511656565657,1.0,6.458333333333334,7.5,6.888886666666666
ALUNO-1059,2020,,,,,,,,1.0,,,
ALUNO-1059,2021,,,,,13.0,,,0.0,,,
ALUNO-1059,2022,3.0,7.91667,2.5,1.833333333333333,13.0,3.666666666666667,4.837498500000001,1.0,6.875,7.5,6.2916575
ALUNO-106,2020,0.0,9.500020000000001,5.0,10.0,10.0,10.0,8.450002,0.0,7.5,7.5,7.5
ALUNO-106,2021,1.0,10.0,5.0,7.9,11.0,7.9,8.242,0.0,8.3,7.5,10.0
ALUNO-106,2022,,,,,12.0,,,0.0,,,
ALUNO-1060,2020,,,,,,,,1.0,,,
ALUNO-1060,2021,,,,,13.0,,,0.0,,,
ALUNO-1060,2022,3.0,9.58335,10.0,3.5,13.0,8.653198653198654,7.208765730639731,1.0,7.03125,7.5,6.83333
ALUNO-1061,2020,2.0,9.500020000000001,5.0,9.0,12.0,8.5,7.940278666666668,1.0,7.916666666666668,6.875,7.555549999999999
ALUNO-1061,2021,,,,,13.0,,,0.0,,,
ALUNO-1061,2022,,,,,14.0,,,0.0,,,
ALUNO-1062,2020,,,,,,,,1.0,,,
ALUNO-1062,2021,,,,,13.0,,,0.0,,,
ALUNO-1062,2022,5.0,6.66666,10.0,4.25,13.0,7.251602564102564,6.243027512820514,1.0,6.09375,5.0,5.83333
ALUNO-1063,2020,,,,,,,,1.0,,,
ALUNO-1063,2021,0.0,9.5,5.0,2.3,13.0,0.0,4.9,1.0,7.5,7.5,7.5
ALUNO-1063,2022,0.0,9.000020000000001,5.0,4.166666666666667,13.0,4.573717948717949,5.552244923076923,0.0,4.375,7.5,6.08333
ALUNO-1064,2020,,,,,,,,1.0,,,
ALUNO-1064,2021,0.0,10.0,5.0,6.3,13.0,10.0,6.817,1.0,5.0,0.0,7.8
ALUNO-1064,2022,,,,,13.0,,,0.0,,,
ALUNO-1065,2020,,,,,,,,1.0,,,
ALUNO-1065,2021,0.0,9.5,5.0,7.0,13.0,10.0,8.0,1.0,7.5,7.5,8.3
ALUNO-1065,2022,0.0,9.50002,5.0,7.0,13.0,9.002849002849004,7.510987800569801,0.0,5.9375,7.5,7.58333
ALUNO-1066,2020,,,,,,,,1.0,,,
ALUNO-1066,2021,3.0,6.7,10.0,5.8,13.0,4.7,6.54,1.0,7.3,7.5,6.5
ALUNO-1066,2022,4.0,6.66666,10.0,5.522222222222222,13.0,8.489420062695924,7.21482645698363,0.0,6.875,7.5,6.54166
ALUNO-1067,2020,0.0,8.500020000000001,5.0,9.5,9.0,10.0,8.312502,1.0,8.125,7.5,7.5
ALUNO-1067,2021,1.0,9.5,5.0,8.1,10.0,10.0,8.544,0.0,8.8,7.5,9.2
ALUNO-1067,2022,2.0,9.000020000000001,10.0,4.916666666666667,11.0,8.892921960072595,7.682753058681186,0.0,6.041666666666667,7.5,8.333333333333334
ALUNO-1068,2020,,,,,,,,1.0,,,
ALUNO-1068,2021,6.0,9.2,5.0,6.8,13.0,8.6,7.501,1.0,8.1,7.5,7.2
ALUNO-1068,2022,7.0,8.33334,5.0,1.022222222222222,13.0,3.333333333333333,4.289168444444445,0.0,3.75,6.875,5.111116666666667
ALUNO-1069,2020,,,,,,,,1.0,,,
ALUNO-1069,2021,,,,,13.0,,,0.0,,,
ALUNO-1069,2022,0.0,9.000020000000001,5.0,8.0,13.0,6.174603174603175,6.864088634920636,1.0,5.625,5.0,7.83333
ALUNO-107,2020,,,,,,,,1.0,,,
ALUNO-107,2021,,,,,13.0,,,0.0,,,
ALUNO-107,2022,0.0,7.91668,5.0,4.0,13.0,4.952380952380953,6.01131119047619,1.0,5.625,7.5,8.083335
ALUNO-1070,2020,0.0,8.500020000000001,5.0,9.5,10.0,10.0,7.6333340000000005,1.0,5.0,7.5,5.66666
ALUNO-1070,2021,1.0,9.5,5.0,5.4,11.0,9.6,7.758,0.0,8.3,7.5,8.7
ALUNO-1070,2022,1.0,9.50002,5.0,4.416666666666667,12.0,8.070175438596491,5.949454421052632,0.0,4.6875,5.0,5.16667
ALUNO-1071,2020,,,,,,,,1.0,,,
